window,symbol,checkpoint,path,direction,entry_price,sl_price,tp_price,one_R_dist,fee_drag_R_taker_taker,fee_drag_R_maker_taker,close_exit_4h_R,close_exit_4h_resolution,close_exit_8h_R,close_exit_8h_resolution,close_exit_24h_R,close_exit_24h_resolution,close_exit_48h_R,close_exit_48h_resolution,close_exit_100h_R,close_exit_100h_resolution
60d,ETH/USDT:USDT,2026-03-07T04:30:00+00:00,15m_fast,SHORT,1972.84,2127.7362749,1663.04745019,154.89627489999998,0.0127365232073763,0.0089155662451634,-0.07592177415236209,close,-0.08883364050480463,close,0.1483573443895649,close,-0.08534743658964537,close,-0.2391277648472371,close
60d,ETH/USDT:USDT,2026-03-08T03:00:00+00:00,15m_fast,SHORT,1941.19,2070.24312568,1683.08374863,129.05312568,0.0150417898812724,0.0105292529168906,-0.042308157754649404,close,-0.24726251171260943,close,-0.13707533162632698,close,-0.7766568959246305,close,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-08T17:00:00+00:00,1h_continuation,SHORT,1935.64,2058.45352568,1690.01294863,122.81352567999988,0.0157608047589437,0.0110325633312606,-0.17701633333648653,close,-0.11594814106308965,close,-0.7381923082008205,close,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-10T04:00:00+00:00,adaptive_trend_route,LONG,2025.61,1908.3131708612132,2260.203658277573,117.29682913878672,0.0172690942702575,0.0120883659891802,0.20793400963244812,close,0.2997523484492359,close,-0.04544027352771336,close,-0.030179843956492654,close,0.43215149439396516,close
60d,ETH/USDT:USDT,2026-03-11T12:00:00+00:00,adaptive_trend_route,LONG,2016.96,1909.37297873231,2232.13404253538,107.58702126769003,0.0187472427085935,0.0131230698960154,0.2963182698466822,close,0.5406785996543747,close,0.4165000524413352,close,0.9579222362107573,close,0.7061260652525818,close
60d,ETH/USDT:USDT,2026-03-12T12:00:00+00:00,adaptive_trend_route,LONG,2061.77,1955.953039384754,2273.403921230492,105.816960615246,0.0194843056161541,0.0136390139313079,0.09100620490334352,close,0.06482892685741859,close,0.5504788614350675,close,0.10281905600710034,close,2.0,tp_first
60d,ETH/USDT:USDT,2026-03-13T08:00:00+00:00,adaptive_trend_route,LONG,2098.45,1988.2743126325404,2318.8013747349187,110.17568736745945,0.0190463980769298,0.0133324786538508,0.1957782203623528,close,0.2591315804981532,close,-0.20104253968595318,close,0.0591782103274236,close,2.0,tp_first
60d,ETH/USDT:USDT,2026-03-15T04:00:00+00:00,aligned_trend,LONG,2095.17,1984.62944602,2316.25110796,110.54055398000014,0.0189538583312968,0.0132677008319078,0.08865524594505668,close,0.2119584094380328,close,1.266141655354131,close,2.0,tp_first,2.0,tp_first
60d,ETH/USDT:USDT,2026-03-15T06:00:00+00:00,aligned_trend,LONG,2106.89,1996.34944602,2327.97110796,110.54055397999991,0.0190598827682842,0.013341917937799,0.08422248364780588,close,-0.09525915712259717,close,1.5606941867797586,close,2.0,tp_first,2.0,tp_first
60d,ETH/USDT:USDT,2026-03-15T21:00:00+00:00,1h_continuation,LONG,2128.0,2025.61669793,2332.76660413,102.3833020699999,0.0207846392622214,0.014549247483555,0.41403235823569795,close,1.3112489760118569,close,2.0,tp_first,2.0,tp_first,2.0,tp_first
60d,ETH/USDT:USDT,2026-03-15T21:00:00+00:00,aligned_trend,LONG,2128.0,2025.61669793,2332.76660413,102.3833020699999,0.0207846392622214,0.014549247483555,0.41403235823569795,close,1.3112489760118569,close,2.0,tp_first,2.0,tp_first,2.0,tp_first
60d,ETH/USDT:USDT,2026-03-16T11:00:00+00:00,15m_fast,LONG,2277.12,2148.49234889,2534.37530222,128.62765111,0.0177031919680524,0.0123922343776366,0.0755669555971903,close,0.3384964245577754,close,0.2701596406380961,close,0.2686825087900025,close,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-18T16:00:00+00:00,4h_flip,SHORT,2186.25,2337.65148034,1883.44703932,151.40148034000003,0.0144400833802309,0.0101080583661616,0.00885064001349873,close,-0.10369779717306966,close,0.4532980777062334,close,0.3511194202369702,close,0.8206656878187296,close
60d,ETH/USDT:USDT,2026-03-19T04:30:00+00:00,15m_fast,SHORT,2193.84,2346.35414078,1888.81171844,152.5141407799997,0.0143845022420878,0.0100691515694614,0.2334865463482972,close,0.25669750883279485,close,0.2661392562841164,close,0.252238905869672,close,0.9287663378330863,close
60d,ETH/USDT:USDT,2026-03-19T12:30:00+00:00,15m_fast,SHORT,2154.69,2307.69703976,1848.67592049,153.00703975999977,0.0140822932289896,0.0098576052602927,0.2814249597112786,close,0.09829613084202568,close,0.08555161919695037,close,-0.024835458590403703,close,0.23038155666099824,close
60d,ETH/USDT:USDT,2026-03-20T07:00:00+00:00,15m_fast,SHORT,2135.65,2281.97806441,1842.99387118,146.32806441000002,0.0145949446444946,0.0102164612511462,-0.07818049152858368,close,0.051254692872760035,close,-0.12950352399183912,close,0.1918292305251177,close,-0.1681837322131508,close
60d,ETH/USDT:USDT,2026-03-20T09:30:00+00:00,15m_fast,SHORT,2141.23,2285.35391695,1852.98216609,144.12391694999997,0.0148568679322172,0.010399807552552,-0.03254144141549475,close,0.07798844381879838,close,-0.08853492376582099,close,0.42206735209051605,close,-0.05578532814084724,close
60d,ETH/USDT:USDT,2026-03-20T10:00:00+00:00,aligned_trend,SHORT,2140.18,2284.30391695,1851.93216609,144.12391694999997,0.0148495825348854,0.0103947077744198,0.09651416846258463,close,0.029627282482763403,close,-0.12017436360690145,close,0.3910523748778789,close,0.019705265164177813,close
60d,ETH/USDT:USDT,2026-03-20T12:00:00+00:00,aligned_trend,SHORT,2140.37,2283.93006574,1853.24986851,143.56006574000003,0.0149092297288049,0.0104364608101634,0.05071048109705152,close,0.057606549268218385,close,-0.11256612287477981,close,0.4973527953749464,close,0.04346612665461559,close
60d,ETH/USDT:USDT,2026-03-20T14:00:00+00:00,15m_fast,SHORT,2126.27,2269.83006574,1839.14986851,143.56006574000003,0.0148110130003065,0.0103677091002145,-0.06714959310104221,close,-0.14230977044131737,close,-0.1993590616755027,close,0.3391611709636714,close,0.12461682786075234,close
60d,ETH/USDT:USDT,2026-03-21T08:30:00+00:00,15m_fast,SHORT,2149.32,2273.15644027,1901.64711947,123.83644026999993,0.0173561190495612,0.0121492833346928,-0.07404928613909054,close,0.013727784780423049,close,0.5912637656602457,close,0.7843410210131048,close,-0.17490812843759618,close
60d,ETH/USDT:USDT,2026-03-21T15:00:00+00:00,15m_fast,SHORT,2151.08,2268.15169453,1916.93661093,117.07169453000006,0.0183740400156997,0.0128618280109898,0.0083709388843679,close,0.01973149879886636,close,0.6329454809506623,close,-0.25018857135013356,close,-0.08900528895419643,close
60d,ETH/USDT:USDT,2026-03-22T12:00:00+00:00,1h_continuation,SHORT,2068.97,2192.52569255,1821.85861489,123.55569255,0.0167452422247784,0.0117216695573448,-0.10513477551625958,close,0.05641180795598883,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-23T07:00:00+00:00,15m_fast,SHORT,2036.2,2156.23124076,1796.13751848,120.03124076000016,0.0169639169528484,0.0118747418669939,-0.09689144198095738,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-23T12:00:00+00:00,4h_flip,LONG,2133.89,1983.76540975,2434.13918049,150.12459024999998,0.0142141270557106,0.0099498889389974,-0.04223158903842331,close,0.1297588887174333,close,0.20556259270123223,close,0.3405171658744984,close,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-25T01:00:00+00:00,1h_continuation,LONG,2160.64,2017.68701142,2446.54597716,142.95298857999978,0.0151143394864449,0.0105800376405114,0.03203850472448748,close,0.1026211494122797,close,0.032108457791573036,close,-0.6752569565621871,close,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-25T20:00:00+00:00,adaptive_trend_route,LONG,2171.73,2062.5757943054086,2390.038411389183,109.15420569459138,0.0198959809764582,0.0139271866835207,-0.034171839520653856,close,-0.1793792541057364,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-26T12:00:00+00:00,adaptive_trend_route,SHORT,2067.33,2175.578226490088,1850.833547019824,108.2482264900882,0.0190980496127508,0.0133686347289256,-0.01939985594306431,close,0.17986437867213287,close,0.7121594736432814,close,0.6551608492772274,close,-0.056074821702099355,close
60d,ETH/USDT:USDT,2026-03-27T04:30:00+00:00,15m_fast,SHORT,2050.53,2172.76024094,1806.06951811,122.23024093999992,0.0167759630041681,0.0117431741029177,-0.02307121362367259,close,0.5279380904736704,close,0.49537659039486653,close,0.37167561522112075,close,-0.02307121362367259,close
60d,ETH/USDT:USDT,2026-03-27T08:30:00+00:00,15m_fast,SHORT,2053.35,2173.33593802,1813.37812396,119.98593802000003,0.017113255385458,0.0119792787698206,0.5613157767602198,close,0.5743173003199216,close,0.41779895900504516,close,0.4137151471177027,close,0.023336067927668364,close
60d,ETH/USDT:USDT,2026-03-28T09:00:00+00:00,15m_fast,SHORT,1998.19,2109.50392706,1775.56214588,111.31392705999995,0.0179509433614981,0.0125656603530487,-0.005030817030631725,close,-0.2271952905440867,close,-0.04500784522047742,close,-0.5679433083510137,close,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-29T00:00:00+00:00,1h_continuation,SHORT,1993.48,2100.61794749,1779.20410502,107.13794749,0.0186066659545262,0.0130246661681683,-0.155500458897209,close,-0.10752492716061442,close,0.09371096082400751,close,-0.30064044304196175,close,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-29T00:00:00+00:00,aligned_trend,SHORT,1993.48,2100.61794749,1779.20410502,107.13794749,0.0186066659545262,0.0130246661681683,-0.155500458897209,close,-0.10752492716061442,close,0.09371096082400751,close,-0.30064044304196175,close,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-29T05:30:00+00:00,15m_fast,SHORT,1999.23,2104.81595124,1788.05809752,105.58595123999976,0.0189346212874068,0.0132542349011847,-0.022351458430634918,close,0.08533332222882582,close,-0.5137994151957609,close,-0.6108767240576327,close,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-29T10:00:00+00:00,aligned_trend,SHORT,1998.06,2099.4533833,1795.27323341,101.3933833000001,0.0197060196136092,0.0137942137295264,0.11775916348182498,close,0.03718191342767806,close,-0.5542767996380709,close,-0.18955872044561717,close,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-29T13:30:00+00:00,15m_fast,SHORT,1990.22,2087.99028449,1794.67943102,97.77028448999975,0.0203560827339473,0.0142492579137631,0.00818244525085514,close,-0.13337385758894602,close,-0.8413599329192276,close,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-29T14:00:00+00:00,aligned_trend,SHORT,1986.12,2083.89028449,1790.57943102,97.77028449,0.0203141477020366,0.0142199033914256,-0.08356322212436341,close,-0.1962764054548989,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-29T18:00:00+00:00,aligned_trend,SHORT,1994.29,2089.74169274,1803.38661452,95.45169274,0.0208931863097727,0.0146252304168409,-0.11545106936989855,close,-0.16060479976774403,close,-0.4859002356965441,close,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-29T22:30:00+00:00,15m_fast,SHORT,1993.72,2085.93228612,1809.29542777,92.21228611999982,0.0216209800655574,0.0151346860458902,-0.21493882034555914,close,-0.5501436102992056,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-29T23:00:00+00:00,aligned_trend,SHORT,1972.83,2065.04228612,1788.40542777,92.21228612000004,0.0213944375853849,0.0149761063097694,-0.6078365731770251,close,-0.7446946918834295,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-03-30T08:00:00+00:00,4h_flip,LONG,2058.7,1951.60649322,2272.88701355,107.09350677999988,0.0192233876908069,0.0134563713835648,0.10925032106788095,close,0.13726322390579848,close,-0.034549246833429935,close,0.6669872165708193,close,0.029600300665400214,close
60d,ETH/USDT:USDT,2026-03-30T16:00:00+00:00,15m_fast,LONG,2073.4,1963.99544569,2292.20910863,109.4045543100001,0.0189516790509925,0.0132661753356947,-0.46350904054973974,close,-0.43608787861621146,close,-0.18043124552261813,close,0.5532676439454862,close,-0.20081430922654098,close
60d,ETH/USDT:USDT,2026-03-31T02:00:00+00:00,1h_continuation,LONG,2072.2,1957.71046082,2301.17907836,114.48953917999984,0.0180994701772892,0.0126696291241024,-0.0769502616841606,close,-0.47969448032850337,close,0.17302890850888328,close,0.23023937548178158,close,-0.16970982798220627,close
60d,ETH/USDT:USDT,2026-03-31T14:00:00+00:00,1h_continuation,LONG,2074.36,1952.09152785,2318.8969443,122.2684721500002,0.0169656164301714,0.0118759315011199,0.1485256148266986,close,0.22197054991170778,close,0.3616631435923257,close,-0.2999137828025932,close,-0.15138816797589458,close
60d,ETH/USDT:USDT,2026-03-31T17:00:00+00:00,15m_fast,LONG,2090.41,1964.53213301,2342.16573399,125.8778669899998,0.0166066525433424,0.0116246567803396,0.12861673292641865,close,0.18668889584748782,close,0.43359489086620734,close,-0.22617161126714644,close,-0.22672770585052324,close
60d,ETH/USDT:USDT,2026-04-01T04:30:00+00:00,15m_fast,LONG,2109.21,2004.05901792,2319.51196416,105.15098207999996,0.020058871142024,0.0140412097994168,0.24945083232835583,close,0.21597515829877872,close,-0.5620489588488675,close,-0.5617636548088452,close,-0.6925280064868792,close
60d,ETH/USDT:USDT,2026-04-01T21:30:00+00:00,15m_fast,LONG,2154.51,2029.26006016,2405.00987968,125.24993984000024,0.0172016849090088,0.0120411794363062,-0.3489822035510525,close,-0.8708986219022837,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-04-02T01:00:00+00:00,15m_fast,LONG,2154.58,2030.71862729,2402.30274542,123.86137270999984,0.0173950922136522,0.0121765645495565,-0.8968897854870227,close,-0.884052853639653,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-04-02T04:00:00+00:00,4h_flip,SHORT,2054.73,2194.26270323,1775.66459354,139.53270323000015,0.0147257951178159,0.0103080565824711,-0.0005016745062609337,close,0.1626142078147713,close,0.012398527083277065,close,0.0395606182079124,close,-0.5684688833789182,close
60d,ETH/USDT:USDT,2026-04-03T00:00:00+00:00,adaptive_trend_route,SHORT,2055.96,2161.679790412644,1844.5204191747123,105.71979041264376,0.0194472576229598,0.0136130803360718,0.027998542074729932,close,-0.08531988159258797,close,0.028755259428100314,close,-0.08011744978816014,close,-1.0,sl_first
60d,ETH/USDT:USDT,2026-04-04T04:00:00+00:00,adaptive_trend_route,SHORT,2049.21,2132.4012741119886,1882.8274517760224,83.1912741119886,0.0246325113045082,0.0172427579131557,-0.04219192502418882,close,-0.022237909200783685,close,-0.07789278466004636,close,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-04-05T04:00:00+00:00,adaptive_trend_route,SHORT,2055.69,2123.022117693602,1921.025764612796,67.33211769360196,0.0305306007061075,0.0213714204942752,0.29243102214013744,close,0.21995446611962458,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-04-06T00:00:00+00:00,adaptive_trend_route,LONG,2109.35,2031.8736894415072,2264.302621116985,77.47631055849251,0.0272257414530277,0.0190580190171194,0.24562346687421396,close,0.31880712726185434,close,-0.041432019372896874,close,2.0,tp_first,2.0,tp_first
60d,ETH/USDT:USDT,2026-04-07T12:00:00+00:00,4h_flip,SHORT,2088.47,2193.93201968,1877.54596064,105.46201968000014,0.0198030533298809,0.0138621373309166,0.08733001727015256,close,-0.22804418190524217,close,-1.0,sl_first,-1.0,sl_first,-1.0,sl_first
60d,ETH/USDT:USDT,2026-04-08T00:00:00+00:00,4h_flip,LONG,2239.14,2105.18097768,2507.05804463,133.9590223199998,0.0167151115409842,0.0117005780786889,-0.03919108925309159,close,0.10159823328277742,close,-0.3752640108100787,close,-0.37489076234100027,close,-0.19729914075413413,close
60d,ETH/USDT:USDT,2026-04-08T13:30:00+00:00,15m_fast,LONG,2259.64,2136.96085203,2504.99829594,122.67914797000005,0.0184191041215298,0.0128933728850709,-0.33681355539006597,close,-0.32858069742917806,close,-0.6689808444061668,close,-0.3329824234676733,close,-0.5529056985021372,close
60d,ETH/USDT:USDT,2026-04-09T16:00:00+00:00,1h_continuation,LONG,2217.0,2091.83684471,2467.32631059,125.16315528999984,0.0177128803988942,0.012399016279226,-0.013102897543610454,close,-0.2243471725759812,close,0.04977503152237787,close,0.25079265481339175,close,0.35313906794367356,close
60d,ETH/USDT:USDT,2026-04-10T05:30:00+00:00,15m_fast,LONG,2200.66,2074.30628565,2453.3674287,126.3537143499998,0.0174166625122247,0.0121916637585573,-0.060623465162105594,close,0.14348608660430834,close,0.26789873312497847,close,0.13501779577879083,close,1.4907357569105004,close
60d,ETH/USDT:USDT,2026-04-10T09:30:00+00:00,15m_fast,LONG,2193.0,2069.79583667,2439.40832665,123.20416333000004,0.0177997231645986,0.012459806215219,0.20932734173050574,close,0.40769726154026065,close,0.4186546834610115,close,0.16371200010485934,close,1.4567689528418468,close
