window,scope,key,n,one_r_rate,two_r_rate,unresolved_rate,avg_mfe_24h_R,avg_mae_24h_R,expectancy_taker_R,expectancy_maker_R,median_time_to_1r_min,median_time_to_sl_min,n_symbols,top_symbol_share,top_day_share,verdict
60d,symbol_path,SOL/USDT:USDT|4h_flip,14,0.0,0.0,1.0,0.4305465943108877,0.34446899352460836,-0.01642678933203069,-0.011498752532421483,,,1,1.0,0.07142857142857142,DO_NOT_ENABLE
60d,symbol_path,SOL/USDT:USDT|15m_fast,32,0.03125,0.0,0.75,0.4044569700675246,0.5704954997697183,-0.23584675667393507,-0.2307177296717545,390.0,795.0,1,1.0,0.09375,DO_NOT_ENABLE
60d,symbol_path,SOL/USDT:USDT|adaptive_trend_route,11,0.09090909090909091,0.0,0.6363636363636364,0.4484130438913598,0.6681695713467263,-0.29461450514006676,-0.28804833541622854,1170.0,780.0,1,1.0,0.18181818181818182,DO_NOT_ENABLE
60d,symbol_path,SOL/USDT:USDT|1h_continuation,14,0.2857142857142857,0.0,0.5,0.6275036312379837,0.45525171743374254,-0.23213412551257748,-0.2267796021445185,1185.0,1335.0,1,1.0,0.14285714285714285,DO_NOT_ENABLE
60d,symbol_path,SOL/USDT:USDT|aligned_trend,16,0.25,0.0,0.6875,0.5964142503338502,0.39790465512691015,-0.0796702469954014,-0.07451917289678098,1170.0,240.0,1,1.0,0.25,DO_NOT_ENABLE
60d,symbol_path,SUI/USDT:USDT|1h_continuation,16,0.125,0.0,0.875,0.5204367611601806,0.32508139122434243,-0.014488174530602273,-0.010141722171421591,457.5,,1,1.0,0.125,DO_NOT_ENABLE
60d,symbol_path,SUI/USDT:USDT|aligned_trend,15,0.13333333333333333,0.0,0.8,0.6028024066786138,0.36099940429572147,-0.08126553451754258,-0.0768858741622798,720.0,1335.0,1,1.0,0.2,DO_NOT_ENABLE
60d,symbol_path,SUI/USDT:USDT|4h_flip,13,0.07692307692307693,0.0,0.9230769230769231,0.402190255683371,0.313435344106893,-0.013681243972861419,-0.009576870781002993,1320.0,,1,1.0,0.07692307692307693,DO_NOT_ENABLE
60d,symbol_path,SUI/USDT:USDT|15m_fast,35,0.05714285714285714,0.0,0.7714285714285715,0.43160637578601274,0.5693475123480894,-0.18691916708066786,-0.1822719883850389,870.0,960.0,1,1.0,0.11428571428571428,DO_NOT_ENABLE
60d,symbol_path,SUI/USDT:USDT|adaptive_trend_route,13,0.0,0.0,0.8461538461538461,0.3209440252309153,0.5892572674508278,-0.17258085488173364,-0.16696044457105963,,667.5,1,1.0,0.15384615384615385,DO_NOT_ENABLE
60d,symbol_path,XRP/USDT:USDT|4h_flip,13,0.07692307692307693,0.0,0.9230769230769231,0.4290440724714574,0.4221735318313569,-0.020141940285260722,-0.014099358199682506,1260.0,,1,1.0,0.07692307692307693,DO_NOT_ENABLE
60d,symbol_path,XRP/USDT:USDT|15m_fast,30,0.23333333333333334,0.06666666666666667,0.6333333333333333,0.6917926444226355,0.46459099256505737,-0.021420709273629344,-0.01499449649154057,870.0,967.5,1,1.0,0.1,DO_NOT_ENABLE
60d,symbol_path,XRP/USDT:USDT|adaptive_trend_route,12,0.08333333333333333,0.0,0.8333333333333334,0.398912648656461,0.48104011453476203,-0.10911592766392446,-0.10138114936474713,840.0,1425.0,1,1.0,0.08333333333333333,DO_NOT_ENABLE
60d,symbol_path,XRP/USDT:USDT|1h_continuation,11,0.09090909090909091,0.0,0.9090909090909091,0.5024784932893819,0.2632165156246385,-0.021350868182616885,-0.014945607727831817,1335.0,,1,1.0,0.09090909090909091,DO_NOT_ENABLE
60d,symbol_path,XRP/USDT:USDT|aligned_trend,13,0.23076923076923078,0.07692307692307693,0.7692307692307693,0.8707396036905425,0.2657503298407185,0.1326199547577411,0.13898781448426492,570.0,,1,1.0,0.23076923076923078,WEAK_SAMPLE
60d,flag,(allowed),219,0.0867579908675799,0.0045662100456621,0.8401826484018264,0.4652583408196633,0.4051959959834458,-0.08051868178391787,-0.07554115944052328,930.0,1050.0,8,0.1506849315068493,0.0547945205479452,DO_NOT_ENABLE
60d,flag,ALLOW_ALIGNED_TREND,95,0.17894736842105263,0.021052631578947368,0.7368421052631579,0.6269987421893305,0.41278954754830144,-0.059539113418886395,-0.054308958340588936,945.0,600.0,8,0.16842105263157894,0.17894736842105263,DO_NOT_ENABLE
60d,flag,ALLOW_ADAPTIVE_TREND_ROUTE,109,0.045871559633027525,0.0,0.7981651376146789,0.3906982304346794,0.6069420622729123,-0.1778683516213271,-0.17129683696061698,795.0,900.0,8,0.1559633027522936,0.09174311926605505,DO_NOT_ENABLE
60d,flag,ALLOW_15M_FAST,259,0.05791505791505792,0.007722007722007722,0.7837837837837838,0.44672927507253685,0.4875352755890404,-0.16017391961069657,-0.1549788865846304,870.0,795.0,8,0.16216216216216217,0.07722007722007722,DO_NOT_ENABLE
60d,flag,ALLOW_BREAKOUT_TRADER_ROUTE,1,1.0,0.0,0.0,1.1981486113178164,3.376242754304876,-1.05754234538171,-1.0402796417671971,30.0,600.0,1,1.0,1.0,DO_NOT_ENABLE
